Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,25-026,2000,1.0,2,2.09,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2,Max Aarons,eng ENG,MF,Valencia,es La Liga,25-026,2000,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21-263,2003,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,21-014,2004,1.0,1,1.02,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18-300,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37-124,1987,10.4,5,0.48,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,25-074,1999,18.7,61,3.26,52,2,2,1,2,2,2,0.11,1,0,1,0,0,0,Matches
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25-364,1999,6.8,3,0.44,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31-041,1993,8.2,25,3.04,16,3,3,2,0,1,2,0.24,1,1,0,0,0,0,Matches
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25-196,1999,1.6,3,1.91,3,0,0,0,0,0,1,0.64,1,0,0,0,0,0,Matches
11,Abel,es ESP,DF,Osasuna,es La Liga,24-162,2000,13.6,14,1.03,11,0,1,0,1,1,2,0.15,0,0,1,0,0,1,Matches
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,22-160,2002,2.9,3,1.03,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28-234,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21-308,2003,16.6,35,2.11,26,0,4,3,2,0,3,0.18,2,0,1,0,0,0,Matches
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24-248,2000,8.8,15,1.71,12,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
16,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24-347,2000,16.8,28,1.67,17,0,4,4,2,1,5,0.30,3,0,1,0,1,0,Matches
17,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25-326,1999,18.5,18,0.97,13,0,0,2,1,2,3,0.16,2,0,0,0,1,0,Matches
18,Tammy Abraham,eng ENG,FW,Roma,it Serie A,27-120,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
19,Tammy Abraham,eng ENG,FW,Milan,it Serie A,27-120,1997,8.3,19,2.28,14,0,0,4,1,0,4,0.48,2,0,0,1,1,0,Matches
20,Federico Accornero,it ITA,MF,Genoa,it Serie A,20-360,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
21,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36-355,1988,7.4,7,0.94,7,0,0,0,0,0,1,0.13,1,0,0,0,0,0,Matches
22,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18-270,2006,1.8,1,0.56,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
23,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,25-001,2000,11.9,25,2.09,18,0,4,1,2,0,5,0.42,2,0,1,0,2,0,Matches
24,Che Adams,sct SCO,FW,Torino,it Serie A,28-201,1996,15.8,39,2.46,32,0,0,4,3,0,3,0.19,2,0,0,1,0,0,Matches
25,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25-351,1999,8.6,19,2.20,15,0,0,0,0,4,4,0.46,3,0,0,0,0,1,Matches
26,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23-238,2001,10.3,21,2.04,16,0,1,2,2,0,3,0.29,2,0,0,1,0,0,Matches
27,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,27-128,1997,8.1,7,0.86,5,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
28,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,21-059,2003,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
