Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Adrián,es ESP,GK,Betis,es La Liga,38-027,1987,2,2,180,2.0,3,1.50,8,5,75.0,1,0,1,1,50.0,1,1,0,0,0.0,Matches
2,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,24-035,2000,14,14,1206,13.4,9,0.67,34,24,76.5,9,4,1,5,35.7,2,1,1,0,50.0,Matches
3,Alisson,br BRA,GK,Liverpool,eng Premier League,32-120,1992,14,14,1248,13.9,12,0.87,42,30,71.4,10,3,1,5,35.7,0,0,0,0,,Matches
4,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,31-338,1993,12,11,1000,11.1,24,2.16,58,36,58.6,2,3,6,2,18.2,0,0,0,0,,Matches
5,Kepa Arrizabalaga,es ESP,GK,Bournemouth,eng Premier League,30-119,1994,16,16,1440,16.0,19,1.19,76,57,76.3,9,3,4,5,31.3,1,1,0,0,0.0,Matches
6,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,22-250,2002,16,16,1440,16.0,29,1.81,81,51,64.2,7,3,6,4,25.0,1,0,1,0,100.0,Matches
7,Emil Audero,it ITA,GK,Como,it Serie A,28-012,1997,8,8,720,8.0,18,2.25,34,16,58.8,2,2,4,0,0.0,4,4,0,0,0.0,Matches
8,Brandon Austin,eng ENG,GK,Tottenham,eng Premier League,26-022,1999,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
9,Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,28-275,1996,16,16,1440,16.0,18,1.13,70,53,75.7,5,7,4,3,18.8,1,1,0,0,0.0,Matches
10,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,34-242,1990,18,18,1620,18.0,35,1.94,91,55,63.7,4,5,9,2,11.1,4,2,2,0,50.0,Matches
11,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,26-238,1998,3,3,270,3.0,8,2.67,16,8,56.3,1,0,2,0,0.0,1,1,0,0,0.0,Matches
12,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,33-326,1991,18,18,1620,18.0,30,1.67,75,45,66.7,8,1,9,4,22.2,7,5,1,1,16.7,Matches
13,Jean Butez,fr FRA,GK,Como,it Serie A,29-236,1995,4,4,360,4.0,6,1.50,15,9,60.0,1,1,2,0,0.0,0,0,0,0,,Matches
14,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,25-118,1999,19,19,1710,19.0,25,1.32,99,75,76.8,9,6,4,4,21.1,2,2,0,0,0.0,Matches
15,Elia Caprile,it ITA,GK,Cagliari,it Serie A,23-158,2001,3,3,270,3.0,4,1.33,19,15,78.9,1,1,1,0,0.0,0,0,0,0,,Matches
16,Elia Caprile,it ITA,GK,Napoli,it Serie A,23-158,2001,4,3,325,3.6,1,0.28,8,7,87.5,3,0,0,3,100.0,0,0,0,0,,Matches
17,Cárdenas,es ESP,GK,Rayo Vallecano,es La Liga,27-308,1997,5,5,450,5.0,6,1.20,19,13,68.4,2,1,2,1,20.0,0,0,0,0,,Matches
18,Patrik Carlgren,se SWE,GK,Nantes,fr Ligue 1,33-022,1992,3,3,270,3.0,5,1.67,21,16,76.2,1,1,1,1,33.3,0,0,0,0,,Matches
19,Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,24-213,2000,21,21,1890,21.0,25,1.19,84,61,71.4,13,4,4,6,28.6,1,1,0,0,0.0,Matches
20,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,23-085,2001,19,19,1710,19.0,19,1.00,72,53,76.4,8,8,3,7,36.8,2,2,0,0,0.0,Matches
21,Leandro Chichizola,ar ARG,GK,Parma,it Serie A,34-309,1990,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
22,Jasper Cillessen,nl NED,GK,Las Palmas,es La Liga,35-283,1989,19,19,1679,18.7,29,1.55,93,65,73.1,6,5,8,3,15.8,6,4,1,1,20.0,Matches
23,Diego Conde,es ESP,GK,Villarreal,es La Liga,26-094,1998,15,15,1332,14.8,25,1.69,66,42,66.7,7,5,3,1,6.7,4,3,0,1,0.0,Matches
