Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Adrián,es ESP,GK,Betis,es La Liga,38-027,1987,2.0,3,1,0,0,0,2.4,0.20,-0.6,-0.32,10,23,43.5,60,7,35.0,33.1,10,20.0,30.9,36,3,8.3,1,0.50,11.9,Matches
2,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,24-035,2000,13.4,9,1,2,1,0,10.5,0.27,+1.5,+0.11,57,178,32.0,341,51,37.5,33.9,66,75.8,54.9,143,20,14.0,17,1.27,14.2,Matches
3,Alisson,br BRA,GK,Liverpool,eng Premier League,32-120,1992,13.9,12,0,0,1,0,12.1,0.29,+0.1,0.00,28,78,35.9,386,53,18.9,25.0,34,14.7,22.6,116,4,3.4,23,1.66,15.8,Matches
4,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,31-338,1993,11.1,24,0,0,2,2,16.9,0.29,-5.1,-0.46,71,162,43.8,344,48,32.0,30.8,99,52.5,40.0,163,9,5.5,14,1.26,14.1,Matches
5,Kepa Arrizabalaga,es ESP,GK,Bournemouth,eng Premier League,30-119,1994,16.0,19,1,0,2,0,21.9,0.28,+2.9,+0.18,82,202,40.6,391,59,34.8,33.7,117,56.4,42.5,206,11,5.3,25,1.56,15.1,Matches
6,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,22-250,2002,16.0,29,0,1,3,0,26.6,0.33,-2.4,-0.15,93,249,37.3,671,81,30.1,32.1,73,64.4,49.2,231,18,7.8,22,1.38,12.7,Matches
7,Emil Audero,it ITA,GK,Como,it Serie A,28-012,1997,8.0,18,4,0,2,0,12.4,0.27,-5.6,-0.70,17,55,30.9,232,30,22.0,28.6,21,19.0,27.5,95,5,5.3,8,1.00,12.9,Matches
8,Brandon Austin,eng ENG,GK,Tottenham,eng Premier League,26-022,1999,1.0,2,0,0,0,0,2.2,0.55,+0.2,+0.20,3,11,27.3,26,5,38.5,32.3,6,16.7,29.0,15,5,33.3,2,2.00,12.4,Matches
9,Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,28-275,1996,16.0,18,1,0,2,1,16.8,0.23,-0.2,-0.01,85,282,30.1,457,56,46.8,40.3,105,64.8,51.7,246,18,7.3,9,0.56,12.1,Matches
10,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,34-242,1990,18.0,35,2,0,5,1,37.6,0.39,+3.6,+0.20,89,253,35.2,617,90,34.4,33.8,74,55.4,45.4,264,9,3.4,18,1.00,14.8,Matches
11,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,26-238,1998,3.0,8,1,0,0,0,6.3,0.36,-1.7,-0.56,18,42,42.9,66,14,42.4,36.5,25,56.0,44.8,43,8,18.6,2,0.67,12.8,Matches
12,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,33-326,1991,18.0,30,5,1,1,1,26.0,0.28,-3.0,-0.17,131,323,40.6,489,65,48.1,38.3,118,74.6,53.8,249,17,6.8,16,0.89,13.6,Matches
13,Jean Butez,fr FRA,GK,Como,it Serie A,29-236,1995,4.0,6,0,0,1,0,4.6,0.32,-1.4,-0.34,23,50,46.0,159,26,28.9,31.4,5,80.0,47.0,43,5,11.6,4,1.00,13.9,Matches
14,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,25-118,1999,19.0,25,2,0,3,1,26.6,0.26,+2.6,+0.14,65,172,37.8,564,98,23.6,28.7,96,40.6,33.7,281,21,7.5,14,0.74,11.2,Matches
15,Elia Caprile,it ITA,GK,Cagliari,it Serie A,23-158,2001,3.0,4,0,0,0,0,5.1,0.28,+1.1,+0.36,24,61,39.3,86,18,44.2,37.3,33,69.7,49.2,47,3,6.4,3,1.00,15.0,Matches
16,Elia Caprile,it ITA,GK,Napoli,it Serie A,23-158,2001,3.6,1,0,0,0,0,2.2,0.27,+1.2,+0.32,11,25,44.0,82,9,25.6,31.7,15,26.7,30.7,31,3,9.7,3,0.83,13.7,Matches
17,Cárdenas,es ESP,GK,Rayo Vallecano,es La Liga,27-308,1997,5.0,6,0,0,0,0,5.6,0.31,-0.4,-0.08,23,84,27.4,100,15,57.0,44.8,39,69.2,52.4,69,1,1.4,1,0.20,10.5,Matches
18,Patrik Carlgren,se SWE,GK,Nantes,fr Ligue 1,33-022,1992,3.0,5,0,0,0,0,6.1,0.29,+1.1,+0.35,14,37,37.8,69,21,27.5,30.5,23,78.3,50.7,54,1,1.9,1,0.33,12.8,Matches
19,Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,24-213,2000,21.0,25,1,0,2,2,24.0,0.30,+1.0,+0.05,64,226,28.3,555,91,29.5,33.0,107,57.9,45.7,173,15,8.7,29,1.38,14.7,Matches
20,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,23-085,2001,19.0,19,2,0,1,0,22.5,0.29,+3.5,+0.19,72,177,40.7,531,67,29.4,30.5,66,31.8,36.0,208,12,5.8,11,0.58,13.7,Matches
21,Leandro Chichizola,ar ARG,GK,Parma,it Serie A,34-309,1990,1.0,3,0,0,0,0,2.5,0.43,-0.5,-0.54,3,16,18.8,41,5,31.7,33.9,8,37.5,34.4,21,2,9.5,2,2.00,16.3,Matches
22,Jasper Cillessen,nl NED,GK,Las Palmas,es La Liga,35-283,1989,18.7,29,4,0,2,2,30.8,0.29,+3.8,+0.21,75,264,28.4,611,100,35.2,32.6,124,39.5,39.3,291,8,2.7,13,0.70,13.8,Matches
23,Diego Conde,es ESP,GK,Villarreal,es La Liga,26-094,1998,14.8,25,3,1,6,1,18.3,0.24,-5.7,-0.39,46,124,37.1,374,61,25.7,29.8,63,44.4,40.7,225,14,6.2,8,0.54,11.2,Matches
24,Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,25-302,1999,1.0,1,0,0,1,0,0.9,0.13,-0.1,-0.07,3,12,25.0,34,3,26.5,31.1,4,75.0,52.8,22,1,4.5,1,1.00,11.7,Matches
25,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,32-264,1992,18.0,16,0,0,2,1,15.3,0.31,+0.3,+0.01,29,107,27.1,563,95,14.0,26.3,83,33.7,38.5,189,10,5.3,11,0.61,11.2,Matches
26,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,26-309,1998,4.0,2,0,0,0,0,3.7,0.28,+1.7,+0.44,19,75,25.3,118,10,39.0,34.1,36,80.6,55.0,92,1,1.1,6,1.50,15.0,Matches
27,Théo De Percin,mq MTQ,GK,Auxerre,fr Ligue 1,23-363,2001,2.0,3,1,0,0,0,3.5,0.22,+0.5,+0.23,8,31,25.8,46,5,45.7,40.3,12,83.3,55.3,38,3,7.9,3,1.50,13.1,Matches
28,Arthur Desmas,fr FRA,GK,Le Havre,fr Ligue 1,30-298,1994,17.0,36,2,1,3,0,37.4,0.40,+1.4,+0.08,54,149,36.2,383,68,29.8,31.4,112,31.3,29.9,263,12,4.6,7,0.41,11.9,Matches
29,Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,27-187,1997,17.0,16,4,0,2,0,13.0,0.21,-3.0,-0.17,53,149,35.6,428,59,26.6,30.5,70,50.0,42.0,229,19,8.3,11,0.65,10.8,Matches
30,Stole Dimitrievski,mk MKD,GK,Valencia,es La Liga,31-036,1993,4.0,6,1,0,0,0,4.5,0.29,-1.5,-0.38,15,72,20.8,113,25,49.6,40.5,20,80.0,53.6,51,3,5.9,16,4.00,25.7,Matches
31,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,25-075,1999,19.0,27,2,0,4,0,32.8,0.32,+5.8,+0.30,92,274,33.6,598,75,34.4,33.2,103,66.0,45.6,264,13,4.9,17,0.89,13.6,Matches
32,Marko Dmitrović,rs SRB,GK,Leganés,es La Liga,33-006,1992,15.0,22,4,0,3,1,25.2,0.29,+4.2,+0.28,99,373,26.5,369,46,64.8,47.5,146,91.8,66.5,304,23,7.6,24,1.60,14.3,Matches
33,Álex Domínguez,es ESP,GK,Toulouse,fr Ligue 1,26-184,1998,0.2,0,0,0,0,0,0.0,,0.0,0.00,2,5,40.0,8,1,25.0,30.0,3,100.0,69.3,7,0,0.0,0,0.00,,Matches
34,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,25-340,1999,14.2,13,1,1,4,0,13.0,0.27,0.0,0.00,22,64,34.4,345,66,13.3,24.8,56,32.1,28.2,125,6,4.8,9,0.63,13.8,Matches
35,Patrick Drewes,de GER,GK,Bochum,de Bundesliga,31-361,1993,19.0,43,2,2,3,0,38.7,0.38,-4.3,-0.23,203,455,44.6,629,57,51.5,38.0,163,80.4,52.4,263,9,3.4,31,1.63,16.4,Matches
36,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,36-015,1989,8.0,6,0,0,0,0,8.6,0.29,+2.6,+0.32,14,63,22.2,215,35,17.7,25.6,45,55.6,42.8,96,7,7.3,8,1.00,15.4,Matches
37,Ederson,br BRA,GK,Manchester City,eng Premier League,31-166,1993,15.0,20,2,0,1,1,21.5,0.38,+2.5,+0.16,51,114,44.7,516,54,19.8,28.2,43,27.9,33.0,119,9,7.6,28,1.87,17.4,Matches
38,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,39-287,1985,11.9,20,3,1,3,0,22.3,0.30,+2.3,+0.19,69,205,33.7,359,52,41.5,35.4,94,59.6,44.4,198,7,3.5,11,0.93,13.7,Matches
39,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,29-293,1995,22.0,40,4,2,5,1,34.1,0.29,-4.9,-0.22,127,363,35.0,561,70,50.4,37.9,106,75.5,50.7,331,13,3.9,13,0.59,11.1,Matches
