Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,25-026,2000,1.0,63,51,12,2,0,0,2,10,0,0,0,0,50,0,1,Matches
2,Max Aarons,eng ENG,MF,Valencia,es La Liga,25-026,2000,0.3,18,14,4,0,0,0,2,4,0,0,0,0,14,0,0,Matches
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21-263,2003,0.7,29,21,8,0,0,0,1,8,0,0,0,0,17,0,2,Matches
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,21-014,2004,1.0,46,45,1,1,0,0,0,0,0,0,0,0,36,0,0,Matches
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18-300,2006,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37-124,1987,10.4,484,442,40,20,0,0,0,1,0,0,0,0,421,2,1,Matches
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,25-074,1999,18.7,1062,984,72,27,15,7,33,11,8,4,2,0,865,6,21,Matches
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25-364,1999,6.8,328,309,19,15,0,6,0,2,0,0,0,0,287,0,1,Matches
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31-041,1993,8.2,344,276,64,6,0,2,21,58,0,0,0,0,251,4,9,Matches
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25-196,1999,1.6,86,68,18,1,0,0,4,17,0,0,0,0,77,0,1,Matches
11,Abel,es ESP,DF,Osasuna,es La Liga,24-162,2000,13.6,610,460,148,9,1,1,52,139,0,0,0,0,420,2,29,Matches
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,22-160,2002,2.9,61,58,2,2,0,1,0,0,0,0,0,0,36,1,3,Matches
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28-234,1996,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21-308,2003,16.6,294,274,19,0,1,3,17,1,0,0,0,0,210,1,16,Matches
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24-248,2000,8.8,475,400,73,8,1,1,24,59,6,6,0,0,394,2,14,Matches
16,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24-347,2000,16.8,288,273,13,1,0,0,28,7,3,2,0,0,181,2,11,Matches
