Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,25-026,2000,3,86,29,4.2,1.0,1,61,0,2,13,11,0.67,2,0,+2,+2.09,+1.50,2.3,0.3,+2.0,+2.12,+1.52,Matches
2,Max Aarons,eng ENG,MF,Valencia,es La Liga,25-026,2000,1,31,31,1.6,0.3,0,,0,1,31,1,0.00,0,2,-2,-5.81,-5.13,0.9,0.6,+0.4,+1.10,+1.70,Matches
3,Álvaro Abajas,es ESP,GK,Leganés,es La Liga,21-263,2003,0,,,,,0,,0,0,,16,,,,,,,,,,,,Matches
4,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21-263,2003,1,65,65,3.4,0.7,1,65,0,0,,8,0.00,1,2,-1,-1.38,-0.64,1.4,0.7,+0.7,+0.93,+1.56,Matches
5,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,21-014,2004,6,88,15,4.4,1.0,0,,0,6,15,12,1.67,2,0,+2,+2.05,+2.57,0.6,1.5,-0.9,-0.91,-0.43,Matches
6,Zach Abbott,eng ENG,DF,Nott'ham Forest,eng Premier League,18-262,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
7,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18-300,2006,1,3,3,0.2,0.0,0,,0,1,3,7,3.00,0,0,0,0.00,-0.90,0.0,0.0,0.0,-0.49,-0.74,Matches
8,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37-124,1987,11,936,85,54.7,10.4,11,85,9,0,,7,0.55,4,28,-24,-2.31,-2.66,7.5,24.2,-16.8,-1.61,-1.53,Matches
9,Jonas El-Abdellaoui,no NOR,FW,Celta Vigo,es La Liga,19-018,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
10,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,25-074,1999,19,1682,89,98.4,18.7,19,89,14,0,,0,1.16,18,28,-10,-0.54,-10.18,19.8,27.2,-7.3,-0.39,-8.36,Matches
11,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25-364,1999,8,608,76,35.6,6.8,7,84,6,1,23,5,1.75,10,10,0,0.00,-1.06,10.9,8.5,+2.4,+0.35,-0.38,Matches
12,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31-041,1993,11,741,67,43.3,8.2,8,85,5,3,20,0,1.73,13,7,+6,+0.73,+0.08,14.4,8.9,+5.6,+0.68,+0.14,Matches
13,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25-196,1999,3,142,47,7.2,1.6,1,61,0,2,41,17,1.00,3,1,+2,+1.27,+1.12,1.9,1.4,+0.5,+0.33,+0.14,Matches
14,Abel,es ESP,DF,Osasuna,es La Liga,24-162,2000,20,1224,61,64.8,13.6,12,87,9,8,23,1,1.35,13,22,-9,-0.66,-1.20,11.7,19.4,-7.7,-0.57,-0.76,Matches
15,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,22-160,2002,7,263,38,13.9,2.9,4,63,1,3,4,6,1.14,1,2,-1,-0.34,-0.40,1.8,1.6,+0.2,+0.07,+0.35,Matches
16,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28-234,1996,1,7,7,0.4,0.1,0,,0,1,7,0,0.00,0,0,0,0.00,+0.41,0.0,0.0,0.0,-0.61,-0.75,Matches
17,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21-308,2003,19,1495,79,87.4,16.6,18,82,4,1,23,0,0.95,17,23,-6,-0.36,+0.06,16.8,23.3,-6.5,-0.39,0.00,Matches
18,Abner,br BRA,DF,Lyon,fr Ligue 1,24-248,2000,12,789,66,46.1,8.8,9,81,4,3,21,7,1.67,11,9,+2,+0.23,-0.26,14.0,12.1,+1.8,+0.21,-0.16,Matches
19,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24-347,2000,19,1510,79,88.3,16.8,18,82,7,1,27,0,1.32,17,18,-1,-0.06,-0.06,23.4,17.2,+6.3,+0.37,-0.55,Matches
20,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25-326,1999,20,1668,83,88.3,18.5,20,83,16,0,,0,1.05,22,30,-8,-0.43,-0.43,20.1,22.1,-2.0,-0.11,+0.29,Matches
21,Tammy Abraham,eng ENG,FW,Roma,it Serie A,27-120,1997,1,1,1,0.1,0.0,0,,0,1,1,1,1.00,0,0,0,0.00,-0.23,0.0,0.1,0.0,-3.09,-3.29,Matches
22,Tammy Abraham,eng ENG,FW,Milan,it Serie A,27-120,1997,16,751,47,39.7,8.3,7,77,2,9,23,2,1.81,17,9,+8,+0.96,+0.88,15.8,8.5,+7.4,+0.88,+0.41,Matches
23,Vicent Abril Sanz,es ESP,GK,Valencia,es La Liga,19-350,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
24,Mathieu Acapandié,fr FRA,DF,Nantes,fr Ligue 1,20-047,2004,0,,,,,0,,0,0,,11,,,,,,,,,,,,Matches
25,Federico Accornero,it ITA,MF,Genoa,it Serie A,20-360,2004,1,5,5,0.3,0.1,0,,0,1,5,11,0.00,0,0,0,0.00,+0.46,0.0,0.0,0.0,+0.71,+1.02,Matches
26,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36-355,1988,9,670,74,35.4,7.4,9,74,7,0,,4,2.22,16,9,+7,+0.94,-1.27,13.0,8.8,+4.1,+0.55,-0.91,Matches
27,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,21-188,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
28,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18-270,2006,2,160,80,7.7,1.8,2,80,1,0,,6,1.00,2,3,-1,-0.56,-1.32,3.4,2.1,+1.3,+0.73,+0.13,Matches
29,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,25-001,2000,15,1075,72,62.9,11.9,13,79,7,2,22,1,0.53,12,29,-17,-1.42,-0.43,12.8,23.6,-10.8,-0.90,-0.29,Matches
30,Che Adams,sct SCO,FW,Torino,it Serie A,28-201,1996,21,1424,68,71.9,15.8,16,79,10,5,31,0,1.24,17,19,-2,-0.13,+0.04,14.1,19.5,-5.4,-0.34,-0.10,Matches
31,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25-351,1999,13,776,60,37.5,8.6,8,84,5,5,22,1,1.92,24,12,+12,+1.39,+1.18,18.3,11.5,+6.8,+0.78,+0.19,Matches
32,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23-238,2001,15,926,62,54.2,10.3,11,77,3,4,19,1,1.13,13,17,-4,-0.39,+0.30,14.7,10.0,+4.8,+0.46,+1.21,Matches
33,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,27-128,1997,11,733,67,35.4,8.1,8,85,7,3,17,12,1.64,17,9,+8,+0.98,+0.51,18.8,11.7,+7.1,+0.88,+0.42,Matches
34,Vernon Addo,,MF,Lecce,it Serie A,,,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
35,Wesley Adeh,de GER,MF,Werder Bremen,de Bundesliga,18-022,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
36,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,21-059,2003,1,26,26,1.5,0.3,0,,0,1,26,1,1.00,0,1,-1,-3.46,-3.41,0.1,1.0,-1.0,-3.42,-3.10,Matches
37,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,23-012,2002,10,496,50,29.0,5.5,6,66,1,4,26,0,1.50,11,11,0,0.00,-0.07,7.8,7.9,-0.1,-0.03,-0.13,Matches
38,Raphaël Adiceam,fr FRA,GK,Auxerre,fr Ligue 1,34-211,1990,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
39,Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,23-029,2002,15,553,37,26.7,6.1,6,64,0,9,19,5,1.47,10,9,+1,+0.16,-0.02,8.3,9.0,-0.7,-0.11,-0.06,Matches
40,Amine Adli,ma MAR,MF,Leverkusen,de Bundesliga,24-265,2000,7,205,29,12.0,2.3,2,59,0,5,17,0,2.00,5,6,-1,-0.44,-1.69,6.5,2.7,+3.9,+1.70,+0.95,Matches
41,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24-185,2000,19,1105,58,58.5,12.3,13,76,4,6,21,0,1.70,25,14,+11,+0.90,+0.67,18.1,12.9,+5.3,+0.43,+0.10,Matches
42,Adrián,es ESP,GK,Betis,es La Liga,38-027,1987,2,180,90,9.5,2.0,2,90,2,0,,17,2.25,5,3,+2,+1.00,+1.26,0.9,2.5,-1.6,-0.79,-0.99,Matches
43,Adryelson,br BRA,DF,Lyon,fr Ligue 1,26-313,1998,1,1,1,0.1,0.0,0,,0,1,1,2,3.00,0,0,0,0.00,-0.37,0.0,0.0,0.0,0.00,-0.30,Matches
44,Daniel Adu-Adjei,eng ENG,FW,Bournemouth,eng Premier League,19-223,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
45,Vasilije Adžić,me MNE,"MF,FW",Juventus,it Serie A,18-263,2006,3,26,9,1.3,0.3,0,,0,3,9,11,3.00,1,0,+1,+3.46,+2.77,0.3,0.1,+0.3,+0.90,+0.40,Matches
46,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,28-024,1997,7,378,54,20.0,4.2,5,65,1,2,26,0,1.14,3,4,-1,-0.24,-0.65,2.6,4.6,-2.0,-0.47,-0.92,Matches
47,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,26-353,1998,19,1214,64,71.0,13.5,13,82,2,6,25,0,1.05,12,18,-6,-0.44,-0.81,14.9,19.9,-4.9,-0.37,-0.55,Matches
