Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,25-026,2000,1.0,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,1,0,0,1,0,40,3,Matches
2,Max Aarons,eng ENG,MF,Valencia,es La Liga,25-026,2000,0.3,24,0,4,4,16,0,24,2,1,50.0,0,0.0,10,28,10,0,0,0,1,1,11,3,Matches
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21-263,2003,0.7,36,1,8,19,9,1,36,1,1,100.0,0,0.0,13,101,67,3,2,1,0,2,16,3,Matches
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,21-014,2004,1.0,65,8,37,22,7,2,65,0,0,,0,,29,219,165,3,1,1,1,3,34,1,Matches
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18-300,2006,0.0,4,0,3,1,0,0,4,0,0,,0,,1,10,9,1,0,0,1,0,3,0,Matches
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37-124,1987,10.4,611,122,391,209,13,6,611,6,3,50.0,3,50.0,311,1692,833,4,1,0,8,3,382,3,Matches
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,25-074,1999,18.7,1257,16,165,712,402,38,1254,80,37,46.3,41,51.3,734,4664,2646,73,53,16,31,27,927,79,Matches
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25-364,1999,6.8,406,56,199,190,19,1,406,3,1,33.3,2,66.7,196,738,392,2,0,0,2,2,230,3,Matches
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31-041,1993,8.2,448,31,129,167,155,27,448,15,7,46.7,8,53.3,180,894,514,21,9,8,14,9,235,51,Matches
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25-196,1999,1.6,97,0,18,45,35,3,97,5,2,40.0,1,20.0,62,274,119,4,0,1,2,1,72,18,Matches
11,Abel,es ESP,DF,Osasuna,es La Liga,24-162,2000,13.6,750,38,232,342,183,10,750,19,11,57.9,7,36.8,308,1743,911,31,26,4,13,10,351,48,Matches
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,22-160,2002,2.9,87,6,21,56,10,2,87,3,2,66.7,1,33.3,34,148,74,2,0,0,1,1,36,2,Matches
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28-234,1996,0.1,2,0,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21-308,2003,16.6,494,22,47,208,251,87,493,51,20,39.2,29,56.9,325,1927,833,37,21,23,55,32,377,99,Matches
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24-248,2000,8.8,562,29,128,267,169,18,562,8,4,50.0,4,50.0,281,1258,791,19,9,4,12,6,355,45,Matches
16,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24-347,2000,16.8,498,5,47,159,297,91,496,35,10,28.6,25,71.4,299,1553,711,27,19,16,51,21,367,132,Matches
17,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25-326,1999,18.5,858,123,460,364,40,12,858,2,1,50.0,1,50.0,418,2555,1408,11,6,0,12,2,435,3,Matches
18,Tammy Abraham,eng ENG,FW,Roma,it Serie A,27-120,1997,0.0,4,0,0,2,2,1,4,0,0,,0,,3,2,1,0,0,0,1,0,4,2,Matches
19,Tammy Abraham,eng ENG,FW,Milan,it Serie A,27-120,1997,8.3,216,9,23,102,91,45,214,8,2,25.0,6,75.0,89,317,125,5,4,3,14,6,139,41,Matches
20,Federico Accornero,it ITA,MF,Genoa,it Serie A,20-360,2004,0.1,8,1,2,3,3,0,8,0,0,,0,,5,25,18,0,1,0,2,0,5,0,Matches
21,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36-355,1988,7.4,654,50,242,374,39,8,654,1,1,100.0,0,0.0,430,1929,952,5,8,0,1,1,515,5,Matches
22,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18-270,2006,1.8,124,7,43,75,6,3,124,2,1,50.0,0,0.0,96,650,377,0,2,0,2,0,100,0,Matches
23,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,25-001,2000,11.9,251,5,19,118,117,49,251,14,7,50.0,6,42.9,126,661,279,11,5,7,16,14,174,45,Matches
