Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,25-026,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2,Max Aarons,eng ENG,MF,Valencia,es La Liga,25-026,2000,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21-263,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,21-014,2004,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,4,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18-300,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37-124,1987,11,11,936,10.4,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,4,22,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.02,0.03,Matches
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,25-074,1999,19,19,1682,18.7,4,1,5,2,2,3,1,0,4.2,1.8,2.6,4.5,73,130,79,0.21,0.05,0.27,0.11,0.16,0.22,0.14,0.37,0.10,0.24,Matches
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25-364,1999,8,7,608,6.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,26,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31-041,1993,11,8,741,8.2,2,2,4,2,0,0,1,0,1.2,1.2,1.4,2.5,21,24,51,0.24,0.24,0.49,0.24,0.49,0.14,0.17,0.31,0.14,0.31,Matches
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25-196,1999,3,1,142,1.6,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,4,6,18,0.00,0.63,0.63,0.00,0.63,0.02,0.07,0.09,0.02,0.09,Matches
