,Players,Values,Team
0,Matej Kovar,€7.00m,bayer 04 leverkusen
1,Lukas Hradecky,€2.00m,bayer 04 leverkusen
2,Niklas Lomb,€250k,bayer 04 leverkusen
3,Luca Novodomsky,0,bayer 04 leverkusen
4,Piero Hincapié,€40.00m,bayer 04 leverkusen
5,Edmond Tapsoba,€40.00m,bayer 04 leverkusen
6,Jonathan Tah,€30.00m,bayer 04 leverkusen
7,Jeanuël Belocian,€20.00m,bayer 04 leverkusen
8,Alejandro Grimaldo,€40.00m,bayer 04 leverkusen
9,Nordi Mukiele,€10.00m,bayer 04 leverkusen
10,Arthur,€5.00m,bayer 04 leverkusen
11,Granit Xhaka,€17.00m,bayer 04 leverkusen
12,Robert Andrich,€15.00m,bayer 04 leverkusen
13,Exequiel Palacios,€40.00m,bayer 04 leverkusen
14,Aleix García,€20.00m,bayer 04 leverkusen
15,Matija Marsenic,0,bayer 04 leverkusen
16,Jeremie Frimpong,€50.00m,bayer 04 leverkusen
17,Nathan Tella,€18.00m,bayer 04 leverkusen
18,Florian Wirtz,€140.00m,bayer 04 leverkusen
19,Jonas Hofmann,€5.00m,bayer 04 leverkusen
20,Amine Adli,€22.00m,bayer 04 leverkusen
21,Martin Terrier,€20.00m,bayer 04 leverkusen
22,Victor Boniface,€45.00m,bayer 04 leverkusen
23,Patrik Schick,€22.00m,bayer 04 leverkusen
24,Alejo Sarco,€800k,bayer 04 leverkusen
25,Alexander Nübel,€12.00m,vfb stuttgart
26,Dennis Seimen,€1.50m,vfb stuttgart
27,Fabian Bredlow,€1.00m,vfb stuttgart
28,Stefan Drljaca,€325k,vfb stuttgart
29,Jeff Chabot,€12.00m,vfb stuttgart
30,Ameen Al-Dakhil,€10.00m,vfb stuttgart
31,Anthony Rouault,€10.00m,vfb stuttgart
32,Dan-Axel Zagadou,€6.00m,vfb stuttgart
33,Anrie Chase,€5.00m,vfb stuttgart
34,Maximilian Mittelstädt,€20.00m,vfb stuttgart
35,Ramon Hendriks,€1.50m,vfb stuttgart
36,Josha Vagnoman,€12.00m,vfb stuttgart
37,Leonidas Stergiou,€5.00m,vfb stuttgart
38,Pascal Stenzel,€2.50m,vfb stuttgart
39,Angelo Stiller,€32.00m,vfb stuttgart
40,Atakan Karazor,€12.00m,vfb stuttgart
