,Players,Values,Team
0,Jan Oblak,€25.00m,atletico madrid
1,Juan Musso,€4.00m,atletico madrid
2,Robin Le Normand,€40.00m,atletico madrid
3,José María Giménez,€20.00m,atletico madrid
4,Clément Lenglet,€7.50m,atletico madrid
5,Axel Witsel,€2.50m,atletico madrid
6,César Azpilicueta,€1.80m,atletico madrid
7,Reinildo Mandava,€8.00m,atletico madrid
8,Javi Galán,€4.00m,atletico madrid
9,Nahuel Molina,€25.00m,atletico madrid
10,Pablo Barrios,€50.00m,atletico madrid
11,Conor Gallagher,€40.00m,atletico madrid
12,Rodrigo De Paul,€25.00m,atletico madrid
13,Koke,€10.00m,atletico madrid
14,Marcos Llorente,€28.00m,atletico madrid
15,Thomas Lemar,€5.00m,atletico madrid
16,Samuel Lino,€25.00m,atletico madrid
17,Rodrigo Riquelme,€22.00m,atletico madrid
18,Marcos Paulo,€500k,atletico madrid
19,Ángel Correa,€15.00m,atletico madrid
20,Giuliano Simeone,€12.00m,atletico madrid
21,Julián Alvarez,€80.00m,atletico madrid
22,Alexander Sørloth,€25.00m,atletico madrid
23,Antoine Griezmann,€22.00m,atletico madrid
24,Marc-André ter Stegen,€15.00m,fc barcelona
25,Iñaki Peña,€10.00m,fc barcelona
26,Wojciech Szczesny,€1.00m,fc barcelona
27,Ander Astralaga,€1.00m,fc barcelona
28,Pau Cubarsí,€70.00m,fc barcelona
29,Ronald Araujo,€55.00m,fc barcelona
30,Andreas Christensen,€20.00m,fc barcelona
31,Eric García,€18.00m,fc barcelona
32,Iñigo Martínez,€5.00m,fc barcelona
33,Sergi Domínguez,€1.00m,fc barcelona
34,Alejandro Balde,€50.00m,fc barcelona
35,Gerard Martín,€5.00m,fc barcelona
36,Jules Koundé,€60.00m,fc barcelona
37,Héctor Fort,€10.00m,fc barcelona
38,Marc Casadó,€30.00m,fc barcelona
39,Marc Bernal,€5.00m,fc barcelona
40,Pedri,€100.00m,fc barcelona
41,Gavi,€80.00m,fc barcelona
42,Fermín López,€50.00m,fc barcelona
43,Frenkie de Jong,€45.00m,fc barcelona
44,Dani Olmo,€60.00m,fc barcelona
45,Pablo Torre,€7.50m,fc barcelona
46,Raphinha,€80.00m,fc barcelona
47,Ansu Fati,€10.00m,fc barcelona
48,Lamine Yamal,€180.00m,fc barcelona
49,Ferran Torres,€28.00m,fc barcelona
50,Robert Lewandowski,€15.00m,fc barcelona
