,Players,Values,Team
0,Gianluigi Donnarumma,€35.00m,fc paris saint germain
1,Matvey Safonov,€22.00m,fc paris saint germain
2,Arnau Tenas,€4.00m,fc paris saint germain
3,Marquinhos,€40.00m,fc paris saint germain
4,Willian Pacho,€40.00m,fc paris saint germain
5,Lucas Beraldo,€30.00m,fc paris saint germain
6,Milan Skriniar,€15.00m,fc paris saint germain
7,Presnel Kimpembe,€8.00m,fc paris saint germain
8,Nuno Mendes,€55.00m,fc paris saint germain
9,Lucas Hernández,€32.00m,fc paris saint germain
10,Achraf Hakimi,€60.00m,fc paris saint germain
11,Yoram Zague,€2.50m,fc paris saint germain
12,João Neves,€60.00m,fc paris saint germain
13,Warren Zaïre-Emery,€60.00m,fc paris saint germain
14,Vitinha,€55.00m,fc paris saint germain
15,Fabián Ruiz,€35.00m,fc paris saint germain
16,Senny Mayulu,€5.00m,fc paris saint germain
17,Khvicha Kvaratskhelia,€85.00m,fc paris saint germain
18,Bradley Barcola,€65.00m,fc paris saint germain
19,Désiré Doué,€40.00m,fc paris saint germain
20,Ousmane Dembélé,€55.00m,fc paris saint germain
21,Kang-in Lee,€30.00m,fc paris saint germain
22,Marco Asensio,€20.00m,fc paris saint germain
23,Gonçalo Ramos,€50.00m,fc paris saint germain
24,Radoslaw Majecki,€7.00m,as monaco
25,Philipp Köhn,€4.00m,as monaco
26,Yann Lienard,€200k,as monaco
27,Wilfried Singo,€25.00m,as monaco
28,Thilo Kehrer,€15.00m,as monaco
29,Mohammed Salisu,€15.00m,as monaco
30,Christian Mawissa,€12.00m,as monaco
31,Caio Henrique,€18.00m,as monaco
32,Kassoum Ouattara,€8.00m,as monaco
33,Vanderson,€20.00m,as monaco
34,Jordan Teze,€15.00m,as monaco
35,Denis Zakaria,€30.00m,as monaco
36,Soungoutou Magassa,€12.00m,as monaco
37,Lamine Camara,€20.00m,as monaco
38,Eliot Matazo,€3.00m,as monaco
39,Edan Diop,€1.50m,as monaco
40,Aleksandr Golovin,€30.00m,as monaco
41,Eliesse Ben Seghir,€30.00m,as monaco
42,Takumi Minamino,€15.00m,as monaco
43,Maghnes Akliouche,€40.00m,as monaco
44,Krépin Diatta,€10.00m,as monaco
45,Folarin Balogun,€25.00m,as monaco
46,George Ilenikhena,€15.00m,as monaco
47,Mika Biereth,€13.00m,as monaco
48,Breel Embolo,€12.00m,as monaco
49,Marco Bizot,€3.50m,stade brest 29
50,Grégoire Coudert,€400k,stade brest 29
51,Noah Jauny,0,stade brest 29
52,Soumaïla Coulibaly,€9.00m,stade brest 29
53,Brendan Chardonnet,€8.00m,stade brest 29
54,Abdoulaye Ndiaye,€3.00m,stade brest 29
55,Julien Le Cardinal,€1.50m,stade brest 29
56,Bradley Locko,€10.00m,stade brest 29
57,Jordan Amavi,€2.00m,stade brest 29
58,Massadio Haidara,€1.80m,stade brest 29
59,Kenny Lala,€2.50m,stade brest 29
60,Luck Zogbé,€500k,stade brest 29
61,Pierre Lees-Melou,€8.00m,stade brest 29
62,Edimilson Fernandes,€3.50m,stade brest 29
63,Jonas Martin,€800k,stade brest 29
64,Mahdi Camara,€10.00m,stade brest 29
65,Hugo Magnetti,€7.00m,stade brest 29
66,Romain Faivre,€9.00m,stade brest 29
67,Kamory Doumbia,€5.00m,stade brest 29
68,Ibrahim Salah,€4.00m,stade brest 29
69,Mathias Pereira Lage,€2.00m,stade brest 29
70,Romain Del Castillo,€10.00m,stade brest 29
71,Abdallah Sima,€10.00m,stade brest 29
72,Mama Baldé,€4.50m,stade brest 29
73,Ludovic Ajorque,€4.00m,stade brest 29
74,Lucas Chevalier,€30.00m,losc lille
75,Vito Mannone,€200k,losc lille
76,Marc-Aurèle Caillard,€150k,losc lille
77,Bafodé Diakité,€25.00m,losc lille
78,Alexsandro,€12.00m,losc lille
79,Samuel Umtiti,€2.00m,losc lille
80,Aïssa Mandi,€1.50m,losc lille
81,Gabriel Gudmundsson,€7.00m,losc lille
82,Mitchel Bakker,€5.00m,losc lille
83,Ismaily,€1.50m,losc lille
84,Tiago Santos,€15.00m,losc lille
85,Thomas Meunier,€2.00m,losc lille
86,Ngal'ayel Mukau,€10.00m,losc lille
87,Nabil Bentaleb,€8.00m,losc lille
88,Benjamin André,€6.00m,losc lille
89,Ayyoub Bouaddi,€25.00m,losc lille
90,André Gomes,€8.00m,losc lille
91,Ethan Mbappé,€2.00m,losc lille
92,Angel Gomes,€25.00m,losc lille
93,Rémy Cabella,€3.00m,losc lille
94,Osame Sahraoui,€12.00m,losc lille
95,Hákon Arnar Haraldsson,€9.00m,losc lille
96,Edon Zhegrova,€25.00m,losc lille
97,Jonathan David,€45.00m,losc lille
98,Matias Fernandez-Pardo,€10.00m,losc lille
99,Mohamed Bayo,€4.00m,losc lille
100,Marcin Bulka,€20.00m,ogc nizza
101,Maxime Dupé,€1.20m,ogc nizza
102,Teddy Boulhendi,€100k,ogc nizza
103,Youssouf Ndayishimiye,€12.00m,ogc nizza
104,Moïse Bombito,€7.00m,ogc nizza
105,Mohamed Abdelmonem,€4.00m,ogc nizza
106,Dante,€500k,ogc nizza
107,Amidou Doumbouya,€300k,ogc nizza
108,Melvin Bard,€12.00m,ogc nizza
109,Ali Abdi,€3.00m,ogc nizza
110,Jonathan Clauss,€6.00m,ogc nizza
111,Antoine Mendy,€3.00m,ogc nizza
112,Pablo Rosario,€8.00m,ogc nizza
113,Baptiste Santamaria,€7.00m,ogc nizza
114,Hicham Boudaoui,€10.00m,ogc nizza
115,Tanguy Ndombélé,€10.00m,ogc nizza
116,Morgan Sanson,€7.00m,ogc nizza
117,Issiaga Camara,€300k,ogc nizza
118,Tom Louchet,€3.00m,ogc nizza
119,Rareș Ilie,€1.50m,ogc nizza
120,Jérémie Boga,€15.00m,ogc nizza
121,Sofiane Diop,€12.00m,ogc nizza
122,Mohamed-Ali Cho,€12.00m,ogc nizza
123,Badredine Bouanani,€5.00m,ogc nizza
124,Evann Guessand,€20.00m,ogc nizza
125,Terem Moffi,€18.00m,ogc nizza
126,Youssoufa Moukoko,€18.00m,ogc nizza
127,Gaëtan Laborde,€5.00m,ogc nizza
128,Victor Orakpo,€500k,ogc nizza
129,Lucas Perri,€8.00m,olympique lyon
130,Rémy Descamps,€1.50m,olympique lyon
131,Lassine Diarra,€25k,olympique lyon
132,Moussa Niakhaté,€15.00m,olympique lyon
133,Duje Caleta-Car,€8.00m,olympique lyon
134,Warmed Omari,€6.00m,olympique lyon
135,Abner,€9.00m,olympique lyon
136,Nicolás Tagliafico,€7.00m,olympique lyon
137,Ainsley Maitland-Niles,€10.00m,olympique lyon
138,Saël Kumbedi,€4.00m,olympique lyon
139,Clinton Mata,€4.00m,olympique lyon
140,Tanner Tessmann,€6.00m,olympique lyon
141,Nemanja Matic,€2.50m,olympique lyon
142,Paul Akouokou,€800k,olympique lyon
143,Jordan Veretout,€7.00m,olympique lyon
144,Corentin Tolisso,€7.00m,olympique lyon
145,Rayan Cherki,€30.00m,olympique lyon
146,Thiago Almada,€27.00m,olympique lyon
147,Malick Fofana,€25.00m,olympique lyon
148,Saïd Benrahma,€15.00m,olympique lyon
149,Ernest Nuamah,€15.00m,olympique lyon
150,Georges Mikautadze,€18.00m,olympique lyon
151,Alexandre Lacazette,€8.00m,olympique lyon
152,Enzo Molebe,€100k,olympique lyon
153,Mathew Ryan,€2.50m,rc lens
154,Hervé Koffi,€1.50m,rc lens
155,Denis Petric,€100k,rc lens
156,Kevin Danso,€25.00m,rc lens
157,Facundo Medina,€25.00m,rc lens
158,Jonathan Gradit,€4.00m,rc lens
159,Malang Sarr,€3.00m,rc lens
160,Ismaëlo Ganiou,0,rc lens
161,Jhoanner Chávez,€4.00m,rc lens
162,Deiver Machado,€3.50m,rc lens
163,Ruben Aguilar,€4.00m,rc lens
164,Hamzat Ojediran,€2.00m,rc lens
165,Nampalys Mendy,€2.00m,rc lens
166,Tom Pouilly,€100k,rc lens
167,Andy Diouf,€10.00m,rc lens
168,Neil El Aynaoui,€8.00m,rc lens
