,Players,Values,Team
0,David Raya,€40.00m,arsenal fc
1,Neto,€2.00m,arsenal fc
2,William Saliba,€80.00m,arsenal fc
3,Gabriel Magalhães,€75.00m,arsenal fc
4,Jakub Kiwior,€28.00m,arsenal fc
5,Riccardo Calafiori,€45.00m,arsenal fc
6,Oleksandr Zinchenko,€30.00m,arsenal fc
7,Kieran Tierney,€10.00m,arsenal fc
8,Myles Lewis-Skelly,€10.00m,arsenal fc
9,Ben White,€55.00m,arsenal fc
10,Jurrien Timber,€45.00m,arsenal fc
11,Takehiro Tomiyasu,€32.00m,arsenal fc
12,Thomas Partey,€15.00m,arsenal fc
13,Jorginho,€10.00m,arsenal fc
14,Declan Rice,€110.00m,arsenal fc
15,Mikel Merino,€45.00m,arsenal fc
16,Martin Ødegaard,€110.00m,arsenal fc
17,Ethan Nwaneri,€30.00m,arsenal fc
18,Gabriel Martinelli,€55.00m,arsenal fc
19,Leandro Trossard,€30.00m,arsenal fc
20,Bukayo Saka,€150.00m,arsenal fc
21,Raheem Sterling,€22.00m,arsenal fc
22,Kai Havertz,€75.00m,arsenal fc
23,Gabriel Jesus,€45.00m,arsenal fc
24,Emiliano Martínez,€25.00m,aston villa
25,Joe Gauci,€1.50m,aston villa
26,Robin Olsen,€1.50m,aston villa
27,Pau Torres,€45.00m,aston villa
28,Ezri Konsa,€35.00m,aston villa
29,Tyrone Mings,€8.00m,aston villa
30,Kortney Hause,€2.00m,aston villa
31,Ian Maatsen,€32.00m,aston villa
32,Lucas Digne,€12.00m,aston villa
33,Matty Cash,€28.00m,aston villa
34,Kosta Nedeljkovic,€8.50m,aston villa
35,Andrés García,€1.20m,aston villa
36,Amadou Onana,€55.00m,aston villa
37,Boubacar Kamara,€38.00m,aston villa
38,Lamare Bogarde,€450k,aston villa
39,Youri Tielemans,€30.00m,aston villa
40,John McGinn,€23.00m,aston villa
41,Ross Barkley,€8.00m,aston villa
42,Jacob Ramsey,€32.00m,aston villa
43,Morgan Rogers,€40.00m,aston villa
44,Emiliano Buendía,€18.00m,aston villa
45,Leon Bailey,€38.00m,aston villa
46,Donyell Malen,€28.00m,aston villa
47,Ollie Watkins,€55.00m,aston villa
48,Jhon Durán,€40.00m,aston villa
49,Kepa Arrizabalaga,€11.00m,afc bournemouth
50,Mark Travers,€4.00m,afc bournemouth
51,Will Dennis,€350k,afc bournemouth
52,Ilya Zabarnyi,€38.00m,afc bournemouth
53,Marcos Senesi,€24.00m,afc bournemouth
54,Dean Huijsen,€18.00m,afc bournemouth
55,James Hill,€2.00m,afc bournemouth
56,Matai Akinmboni,€1.00m,afc bournemouth
57,Milos Kerkez,€28.00m,afc bournemouth
58,Julio Soler,€8.00m,afc bournemouth
59,Julián Araujo,€10.00m,afc bournemouth
60,Adam Smith,€1.00m,afc bournemouth
61,Tyler Adams,€15.00m,afc bournemouth
62,Alex Scott,€20.00m,afc bournemouth
63,Lewis Cook,€14.00m,afc bournemouth
64,Ryan Christie,€12.00m,afc bournemouth
65,Marcus Tavernier,€20.00m,afc bournemouth
66,Justin Kluivert,€22.00m,afc bournemouth
67,Dango Ouattara,€20.00m,afc bournemouth
68,Luis Sinisterra,€17.00m,afc bournemouth
69,Antoine Semenyo,€28.00m,afc bournemouth
70,David Brooks,€9.00m,afc bournemouth
71,Evanilson,€35.00m,afc bournemouth
72,Enes Ünal,€13.00m,afc bournemouth
73,Daniel Jebbison,€1.20m,afc bournemouth
74,Mark Flekken,€10.00m,brentford fc
75,Hákon Rafn Valdimarsson,€2.50m,brentford fc
76,Matthew Cox,€800k,brentford fc
77,Nathan Collins,€28.00m,brentford fc
78,Sepp van den Berg,€18.00m,brentford fc
79,Kristoffer Ajer,€18.00m,brentford fc
80,Ethan Pinnock,€8.00m,brentford fc
81,Ben Mee,€900k,brentford fc
82,Ji-soo Kim,€600k,brentford fc
83,Rico Henry,€20.00m,brentford fc
84,Aaron Hickey,€22.00m,brentford fc
85,Mads Roerslev,€12.00m,brentford fc
86,Vitaly Janelt,€22.00m,brentford fc
87,Christian Nørgaard,€15.00m,brentford fc
88,Yunus Emre Konak,€4.50m,brentford fc
89,Mathias Jensen,€25.00m,brentford fc
90,Josh Dasilva,€10.00m,brentford fc
91,Paris Maghoma,€350k,brentford fc
92,Ryan Trevitt,€275k,brentford fc
93,Fábio Carvalho,€18.00m,brentford fc
94,Yegor Yarmolyuk,€12.00m,brentford fc
95,Kevin Schade,€22.00m,brentford fc
96,Keane Lewis-Potter,€20.00m,brentford fc
97,Mikkel Damsgaard,€15.00m,brentford fc
98,Gustavo Nunes,€10.00m,brentford fc
99,Bryan Mbeumo,€50.00m,brentford fc
100,Yoane Wissa,€28.00m,brentford fc
101,Igor Thiago,€25.00m,brentford fc
102,Bart Verbruggen,€25.00m,brighton amp hove albion
103,Jason Steele,€3.00m,brighton amp hove albion
104,Carl Rushworth,€3.00m,brighton amp hove albion
105,Jan Paul van Hecke,€32.00m,brighton amp hove albion
106,Igor,€22.00m,brighton amp hove albion
107,Adam Webster,€12.00m,brighton amp hove albion
108,Lewis Dunk,€10.00m,brighton amp hove albion
109,Ferdi Kadıoğlu,€30.00m,brighton amp hove albion
110,Pervis Estupiñán,€30.00m,brighton amp hove albion
111,Tariq Lamptey,€12.00m,brighton amp hove albion
112,Joël Veltman,€7.00m,brighton amp hove albion
113,Carlos Baleba,€35.00m,brighton amp hove albion
114,Mats Wieffer,€30.00m,brighton amp hove albion
115,Jack Hinshelwood,€24.00m,brighton amp hove albion
116,Matt O'Riley,€22.00m,brighton amp hove albion
117,Diego Gómez,€12.00m,brighton amp hove albion
118,Yasin Ayari,€12.00m,brighton amp hove albion
119,James Milner,€1.00m,brighton amp hove albion
120,Kaoru Mitoma,€45.00m,brighton amp hove albion
121,Simon Adingra,€30.00m,brighton amp hove albion
122,Yankuba Minteh,€28.00m,brighton amp hove albion
123,Brajan Gruda,€25.00m,brighton amp hove albion
124,Solly March,€10.00m,brighton amp hove albion
125,João Pedro,€50.00m,brighton amp hove albion
126,Evan Ferguson,€40.00m,brighton amp hove albion
127,Georginio Rutter,€32.00m,brighton amp hove albion
128,Danny Welbeck,€5.00m,brighton amp hove albion
129,Robert Sánchez,€20.00m,fc chelsea
130,Filip Jørgensen,€20.00m,fc chelsea
131,Marcus Bettinelli,€800k,fc chelsea
132,Lucas Bergström,€700k,fc chelsea
133,Levi Colwill,€55.00m,fc chelsea
134,Axel Disasi,€30.00m,fc chelsea
135,Wesley Fofana,€30.00m,fc chelsea
136,Benoît Badiashile,€28.00m,fc chelsea
137,Tosin Adarabioyo,€20.00m,fc chelsea
138,Trevoh Chalobah,€13.00m,fc chelsea
139,Aarón Anselmino,€8.00m,fc chelsea
140,Marc Cucurella,€30.00m,fc chelsea
141,Ben Chilwell,€20.00m,fc chelsea
142,Renato Veiga,€10.00m,fc chelsea
143,Malo Gusto,€35.00m,fc chelsea
144,Reece James,€30.00m,fc chelsea
145,Josh Acheampong,€1.00m,fc chelsea
146,Moisés Caicedo,€80.00m,fc chelsea
147,Roméo Lavia,€40.00m,fc chelsea
148,Enzo Fernández,€75.00m,fc chelsea
149,Kiernan Dewsbury-Hall,€28.00m,fc chelsea
150,Carney Chukwuemeka,€15.00m,fc chelsea
151,Cesare Casadei,€10.00m,fc chelsea
152,Cole Palmer,€130.00m,fc chelsea
153,Mykhaylo Mudryk,€30.00m,fc chelsea
154,Jadon Sancho,€30.00m,fc chelsea
155,Tyrique George,0,fc chelsea
156,Pedro Neto,€55.00m,fc chelsea
157,Noni Madueke,€40.00m,fc chelsea
158,João Félix,€30.00m,fc chelsea
159,Nicolas Jackson,€55.00m,fc chelsea
160,Christopher Nkunku,€50.00m,fc chelsea
161,Marc Guiu,€8.00m,fc chelsea
162,Dean Henderson,€15.00m,crystal palace
163,Matt Turner,€4.00m,crystal palace
164,Remi Matthews,€500k,crystal palace
165,Marc Guéhi,€45.00m,crystal palace
166,Maxence Lacroix,€20.00m,crystal palace
167,Chadi Riad,€15.00m,crystal palace
168,Chris Richards,€12.00m,crystal palace
169,Rob Holding,€4.00m,crystal palace
170,Tyrick Mitchell,€25.00m,crystal palace
171,Daniel Muñoz,€25.00m,crystal palace
172,Nathaniel Clyne,€1.50m,crystal palace
173,Joel Ward,€900k,crystal palace
174,Caleb Kporha,0,crystal palace
175,Cheick Doucouré,€35.00m,crystal palace
176,Adam Wharton,€32.00m,crystal palace
177,Jefferson Lerma,€14.00m,crystal palace
178,Kaden Rodney,€200k,crystal palace
179,Will Hughes,€9.00m,crystal palace
180,Justin Devenny,€150k,crystal palace
181,Jeffrey Schlupp,€6.00m,crystal palace
182,Eberechi Eze,€55.00m,crystal palace
183,Daichi Kamada,€15.00m,crystal palace
184,Matheus França,€13.00m,crystal palace
185,Romain Esse,€5.00m,crystal palace
186,Ismaïla Sarr,€20.00m,crystal palace
187,Malcolm Ebiowei,€1.20m,crystal palace
188,Franco Umeh-Chibueze,€75k,crystal palace
189,Eddie Nketiah,€25.00m,crystal palace
190,Jean-Philippe Mateta,€20.00m,crystal palace
191,Luke Plange,€500k,crystal palace
192,Jordan Pickford,€20.00m,fc everton
193,João Virgínia,€800k,fc everton
194,Asmir Begovic,€300k,fc everton
195,Jarrad Branthwaite,€42.00m,fc everton
196,Jake O'Brien,€15.00m,fc everton
197,James Tarkowski,€10.00m,fc everton
198,Michael Keane,€6.00m,fc everton
199,Vitaliy Mykolenko,€28.00m,fc everton
200,Ashley Young,€500k,fc everton
201,Nathan Patterson,€15.00m,fc everton
202,Séamus Coleman,€500k,fc everton
203,Orel Mangala,€20.00m,fc everton
204,James Garner,€20.00m,fc everton
205,Tim Iroegbunam,€10.00m,fc everton
206,Abdoulaye Doucouré,€8.00m,fc everton
207,Idrissa Gueye,€2.00m,fc everton
208,Harrison Armstrong,€500k,fc everton
209,Dwight McNeil,€25.00m,fc everton
210,Iliman Ndiaye,€18.00m,fc everton
211,Jesper Lindstrøm,€20.00m,fc everton
212,Jack Harrison,€16.00m,fc everton
213,Dominic Calvert-Lewin,€22.00m,fc everton
214,Beto,€20.00m,fc everton
215,Armando Broja,€15.00m,fc everton
216,Chermiti,€9.00m,fc everton
217,Bernd Leno,€11.00m,fc fulham
218,Steven Benda,€1.00m,fc fulham
219,Joachim Andersen,€32.00m,fc fulham
220,Issa Diop,€20.00m,fc fulham
221,Calvin Bassey,€16.00m,fc fulham
222,Jorge Cuenca,€6.00m,fc fulham
223,Antonee Robinson,€28.00m,fc fulham
224,Ryan Sessegnon,€9.00m,fc fulham
225,Kenny Tete,€15.00m,fc fulham
226,Timothy Castagne,€15.00m,fc fulham
227,Sander Berge,€20.00m,fc fulham
228,Harrison Reed,€11.00m,fc fulham
229,Saša Lukić,€10.00m,fc fulham
230,Tom Cairney,€2.00m,fc fulham
231,Josh King,€200k,fc fulham
232,Emile Smith Rowe,€32.00m,fc fulham
233,Andreas Pereira,€20.00m,fc fulham
234,Alex Iwobi,€25.00m,fc fulham
235,Martial Godo,€600k,fc fulham
236,Reiss Nelson,€18.00m,fc fulham
237,Harry Wilson,€17.00m,fc fulham
238,Adama Traoré,€10.00m,fc fulham
239,Rodrigo Muniz,€20.00m,fc fulham
240,Raúl Jiménez,€5.00m,fc fulham
241,Carlos Vinícius,€4.00m,fc fulham
242,Arijanet Muric,€8.00m,ipswich town
243,Christian Walton,€900k,ipswich town
244,Cieran Slicker,€300k,ipswich town
245,Jacob Greaves,€20.00m,ipswich town
246,Dara O'Shea,€14.00m,ipswich town
247,Ben Godfrey,€8.00m,ipswich town
248,Cameron Burgess,€2.50m,ipswich town
249,Luke Woolfenden,€2.00m,ipswich town
250,George Edmundson,€350k,ipswich town
251,Leif Davis,€25.00m,ipswich town
252,Conor Townsend,€1.20m,ipswich town
253,Ben Johnson,€9.00m,ipswich town
254,Harry Clarke,€5.00m,ipswich town
255,Axel Tuanzebe,€5.00m,ipswich town
