,Players,Values,Team
0,Josep Martínez,€12.00m,inter milan
1,Yann Sommer,€4.00m,inter milan
2,Andrei Radu,€1.50m,inter milan
3,Raffaele Di Gennaro,€300k,inter milan
4,Alessandro Bastoni,€75.00m,inter milan
5,Benjamin Pavard,€40.00m,inter milan
6,Yann Bisseck,€30.00m,inter milan
7,Stefan de Vrij,€7.00m,inter milan
8,Tomás Palacios,€6.00m,inter milan
9,Francesco Acerbi,€3.00m,inter milan
10,Federico Dimarco,€60.00m,inter milan
11,Carlos Augusto,€22.00m,inter milan
12,Denzel Dumfries,€20.00m,inter milan
13,Matteo Darmian,€4.00m,inter milan
14,Hakan Çalhanoğlu,€40.00m,inter milan
15,Kristjan Asllani,€18.00m,inter milan
16,Nicolò Barella,€80.00m,inter milan
17,Davide Frattesi,€32.00m,inter milan
18,Piotr Zieliński,€18.00m,inter milan
19,Henrikh Mkhitaryan,€5.00m,inter milan
20,Tajon Buchanan,€8.00m,inter milan
21,Joaquín Correa,€3.00m,inter milan
22,Lautaro Martínez,€100.00m,inter milan
23,Marcus Thuram,€75.00m,inter milan
24,Mehdi Taremi,€8.00m,inter milan
25,Marko Arnautovic,€3.50m,inter milan
26,Mike Maignan,€35.00m,ac mailand
27,Marco Sportiello,€1.50m,ac mailand
28,Lorenzo Torriani,€500k,ac mailand
29,Fikayo Tomori,€22.00m,ac mailand
30,Malick Thiaw,€20.00m,ac mailand
31,Matteo Gabbia,€20.00m,ac mailand
32,Strahinja Pavlović,€17.00m,ac mailand
33,Theo Hernández,€50.00m,ac mailand
34,Emerson Royal,€14.00m,ac mailand
35,Davide Calabria,€7.50m,ac mailand
36,Álex Jiménez,€5.00m,ac mailand
37,Filippo Terracciano,€4.50m,ac mailand
38,Alessandro Florenzi,€1.50m,ac mailand
39,Youssouf Fofana,€30.00m,ac mailand
40,Ismaël Bennacer,€14.00m,ac mailand
41,Tijjani Reijnders,€50.00m,ac mailand
42,Yunus Musah,€22.00m,ac mailand
43,Ruben Loftus-Cheek,€20.00m,ac mailand
44,Kevin Zeroli,€3.50m,ac mailand
45,Rafael Leão,€75.00m,ac mailand
46,Noah Okafor,€15.00m,ac mailand
47,Christian Pulisic,€50.00m,ac mailand
48,Samuel Chukwueze,€18.00m,ac mailand
49,Tammy Abraham,€20.00m,ac mailand
50,Álvaro Morata,€13.00m,ac mailand
51,Luka Jović,€4.00m,ac mailand
52,Michele Di Gregorio,€18.00m,juventus turin
53,Mattia Perin,€3.00m,juventus turin
