,Players,Values,Team
0,David Raya,40000000.0,arsenal fc
1,Neto,2000000.0,arsenal fc
2,William Saliba,80000000.0,arsenal fc
4,Jakub Kiwior,28000000.0,arsenal fc
5,Riccardo Calafiori,45000000.0,arsenal fc
6,Oleksandr Zinchenko,30000000.0,arsenal fc
7,Kieran Tierney,10000000.0,arsenal fc
8,Myles Lewis-Skelly,10000000.0,arsenal fc
9,Ben White,55000000.0,arsenal fc
10,Jurrien Timber,45000000.0,arsenal fc
11,Takehiro Tomiyasu,32000000.0,arsenal fc
12,Thomas Partey,15000000.0,arsenal fc
13,Jorginho,10000000.0,arsenal fc
14,Declan Rice,110000000.0,arsenal fc
16,Martin Ødegaard,110000000.0,arsenal fc
17,Ethan Nwaneri,30000000.0,arsenal fc
18,Gabriel Martinelli,55000000.0,arsenal fc
19,Leandro Trossard,30000000.0,arsenal fc
20,Bukayo Saka,150000000.0,arsenal fc
21,Raheem Sterling,22000000.0,arsenal fc
22,Kai Havertz,75000000.0,arsenal fc
23,Gabriel Jesus,45000000.0,arsenal fc
24,Emiliano Martínez,25000000.0,aston villa
25,Joe Gauci,1500000.0,aston villa
26,Robin Olsen,1500000.0,aston villa
27,Pau Torres,45000000.0,aston villa
28,Ezri Konsa,35000000.0,aston villa
29,Tyrone Mings,8000000.0,aston villa
30,Kortney Hause,2000000.0,aston villa
31,Ian Maatsen,32000000.0,aston villa
32,Lucas Digne,12000000.0,aston villa
33,Matty Cash,28000000.0,aston villa
34,Kosta Nedeljkovic,8500000.0,aston villa
35,Andrés García,1200000.0,aston villa
36,Amadou Onana,55000000.0,aston villa
37,Boubacar Kamara,38000000.0,aston villa
38,Lamare Bogarde,450000.0,aston villa
39,Youri Tielemans,30000000.0,aston villa
40,John McGinn,23000000.0,aston villa
41,Ross Barkley,8000000.0,aston villa
42,Jacob Ramsey,32000000.0,aston villa
43,Morgan Rogers,40000000.0,aston villa
44,Emi Buendia,18000000.0,aston villa
45,Leon Bailey,38000000.0,aston villa
46,Donyell Malen,28000000.0,borussia dortmund
47,Ollie Watkins,55000000.0,aston villa
48,Jhon Durán,40000000.0,aston villa
49,Kepa Arrizabalaga,11000000.0,afc bournemouth
50,Mark Travers,4000000.0,afc bournemouth
52,Illia Zabarnyi,38000000.0,afc bournemouth
53,Marcos Senesi,24000000.0,afc bournemouth
54,Dean Huijsen,18000000.0,afc bournemouth
55,James Hill,2000000.0,afc bournemouth
56,Matai Akinmboni,1000000.0,afc bournemouth
57,Milos Kerkez,28000000.0,afc bournemouth
58,Julio Soler,8000000.0,afc bournemouth
59,Julián Araujo,10000000.0,afc bournemouth
60,Adam Smith,1000000.0,afc bournemouth
61,Tyler Adams,15000000.0,afc bournemouth
62,Alex Scott,20000000.0,afc bournemouth
63,Lewis Cook,14000000.0,afc bournemouth
64,Ryan Christie,12000000.0,afc bournemouth
65,Marcus Tavernier,20000000.0,afc bournemouth
66,Justin Kluivert,22000000.0,afc bournemouth
67,Dango Ouattara,20000000.0,afc bournemouth
